"score_total","score_temas","score_proced","score_tutela","score_valor","processo","data","ano","comarca","vara","magistrado","resultado_dispositivo","valor_indenizacao","tem_protesto","tem_duplicata","tem_rel_juridica","tem_contrato","tem_tutela_deferida","dispositivo_trecho","dispositivo_txt"
6,4,0,1,1,"10069485920258260132","18/05/2026",2026,"SÃO PAULO","31ª Vara Cível","Gisele Valle Monteiro da Rocha","parcial",10000,TRUE,TRUE,TRUE,TRUE,TRUE,"JULGO PROCEDENTES os pedidos, para confirmar a tutela de urgência de fls. 172/174 e DECLARAR NULO o negócio jurídico consubstanciado no ""Contrato de Figuração nº 85088 G"" (fls. 19), declarando-se a inexigibilidade do débito de R$ 1.050,00 (mil e cinquenta reais), dele derivado, bem como a inexigibilidade da Duplicata Mercantil por Indicação nº 85088G, que foi objeto de protesto. CONDENO a ré ao pagamento de indenização por danos morais no valor de R$ 10.000,00 (dez mil reais), com juros e correção monetária a contar da prolação da presente sentença. Incidirá o IPCA como índice para a correção ","JULGO PROCEDENTES os pedidos, para confirmar a tutela de urgência de fls. 172/174 e DECLARAR NULO o negócio jurídico consubstanciado no ""Contrato de Figuração nº 85088 G"" (fls. 19), declarando-se a inexigibilidade do débito de R$ 1.050,00 (mil e cinquenta reais), dele derivado, bem como a inexigibilidade da Duplicata Mercantil por Indicação nº 85088G, que foi objeto de protesto. CONDENO a ré ao pagamento de indenização por danos morais no valor de R$ 10.000,00 (dez mil reais), com juros e correção monetária a contar da prolação da presente sentença. Incidirá o IPCA como índice para a correção monetária (artigo 389 CC) e a Taxa Selic (deduzido o índice de atualização monetária IPCA), para fins de juros moratórios, conforme dispõem os parágrafos da redação do artigo 406 parágrafo 1º e 389 parágrafo único, ambos do Código Civil Em razão da sucumbência, condeno a parte ré ao pagamento das custas e despesas processuais, bem como dos honorários advocatícios da parte autora, os quais fixo em 10% (dez por cento) sobre o valor total da condenação, nos termos do artigo 85, § 2º, do Código de Processo Civil. Após o trânsito em julgado, expeça-se o necessário para o levantamento da caução depositada (fls. 184/188) em favor da parte autora. Oficie-se ao Tabelionato de Notas e de Protestos de Letras e Títulos para o cancelamento definitivo do protesto. Preteridas as demais alegações, por incompatíveis com a linha adotada, ficam as partes advertidas de que a oposição de embargos fora das hipóteses legais e/ou com postulação meramente infringente ensejará a imposição da multa prevista no art. 1026, § 2º, CPC. Eventual recurso de apelação, intime-se a parte contrária para, querendo, apresentar contrarrazões, no prazo de 15 (quinze) dias (CPC, art. 1.010, § 1º). Após, considerando que o juízo de admissibilidade será realizado pelo juízo ad quem, subam os presentes autos ao E. Tribunal de Justiça de São Paulo, com as nossas homenagens e cautelas de estilo. Certificado o trânsito em julgado, manifeste-se o vencedor em termos de prosseguimento no prazo de 30 dias, devendo o exequente peticionar como ""Cum"
5,3,1,0,1,"10673317020238260100","08/05/2024",2024,"SÃO PAULO","37ª Vara Cível","REBECA UEMATSU TEIXEIRA","procedente",5000,TRUE,TRUE,TRUE,FALSE,FALSE,"JULGO PROCEDENTES os pedidos formulados na petição inicial, resolvendo o mérito nos termos do artigo 487, inciso I, do Código de Processo Civil, para: 1) declarar a nulidade do contrato de figuração n° 100544 (fls. 95/98), bem como a inexigibilidade dos débitos a ele relacionados; 2) confirmar a tutela provisória deferida, cancelando o protesto indevido; e 3) condenar a ré ao pagamento de indenização por danos morais no valor de R$5.000,00, com correção monetária pela tabela prática do Tribunal de Justiça de São Paulo a contar da data da sentença e juros de mora de 1% ao mês, a partir da citaç","JULGO PROCEDENTES os pedidos formulados na petição inicial, resolvendo o mérito nos termos do artigo 487, inciso I, do Código de Processo Civil, para: 1) declarar a nulidade do contrato de figuração n° 100544 (fls. 95/98), bem como a inexigibilidade dos débitos a ele relacionados; 2) confirmar a tutela provisória deferida, cancelando o protesto indevido; e 3) condenar a ré ao pagamento de indenização por danos morais no valor de R$5.000,00, com correção monetária pela tabela prática do Tribunal de Justiça de São Paulo a contar da data da sentença e juros de mora de 1% ao mês, a partir da citação. Pela sucumbência, condeno a ré ao pagamento das custas, despesas processuais, bem como honorários advocatícios, que fixo em 10% do valor da condenação, nos termos do artigo 85, §2°, do Código de Processo Civil. Após o trânsito em julgado desta sentença, defiro o levantamento, pela autora, do valor depositado a título de caução (fls. 132/133), devendo apresentar formulário MLE devidamente preenchido. P.I.C. São Paulo, 08 de maio de 2024. DOCUMENTO ASSINADO DIGITALMENTE NOS TERMOS DA LEI 11.419/2006, CONFORME IMPRESSÃO À MARGEM DIREITA"
5,3,1,0,1,"10002305920228260097","30/11/2023",2023,"Buritama","2ª Vara","HENRIQUE DE CASTILHO JACINTO","procedente",5000,TRUE,TRUE,TRUE,FALSE,FALSE,"julgo PROCEDENTES os pedidos mediatos confirmando-se a tutela antecipada às fls. (fls. 59/60 e 83) e no sentido: (a) declarar a inexistência de relação jurídica dos contratos indicados pela petição inicial junto à requerida, com efeito, declarar a nulidade da DMI 83682g (duplicata mercantil) e declarar inexigibilidade contrato; (b) CONDENAR a parte requerida ao pagamento de danos morais no valor e R$ 5.000,00 (cinco mil reais) sobre o qual incidirá juros de mora de 1% (um por cento) ao mês desde a data do ","julgo PROCEDENTES os pedidos mediatos confirmando-se a tutela antecipada às fls. (fls. 59/60 e 83) e no sentido: (a) declarar a inexistência de relação jurídica dos contratos indicados pela petição inicial junto à requerida, com efeito, declarar a nulidade da DMI 83682g (duplicata mercantil) e declarar inexigibilidade contrato; (b) CONDENAR a parte requerida ao pagamento de danos morais no valor e R$ 5.000,00 (cinco mil reais) sobre o qual incidirá juros de mora de 1% (um por cento) ao mês desde a data do "
4,2,1,0,1,"10046004620258260010","26/11/2025",2025,"SÃO PAULO","2ª Vara Cível","MARINA DUBOIS FAVA","procedente",5000,TRUE,TRUE,FALSE,FALSE,FALSE,"JULGO PROCEDENTES os pedidos, para: (i) DECLARAR rescindido o contrato celebrado entre as partes, sem a incidência de qualquer multa; (ii) confirmando a liminar concedida às fls. 99/103, DECLARAR inexigíveis os valores cobrados pela parte ré, determinando-se o cancelamento definitivo dos respectivos protestos; (iii) CONDENAR a requerida ao pagamento de indenização por danos morais, no valor de R$ 5.000,00 (cinco mil reais). O valor da indenização deverá ser acrescido de atualização monetária a partir da presente data e juros moratórios a contar da citação. Dever-se-á observar a atualização mon","JULGO PROCEDENTES os pedidos, para: (i) DECLARAR rescindido o contrato celebrado entre as partes, sem a incidência de qualquer multa; (ii) confirmando a liminar concedida às fls. 99/103, DECLARAR inexigíveis os valores cobrados pela parte ré, determinando-se o cancelamento definitivo dos respectivos protestos; (iii) CONDENAR a requerida ao pagamento de indenização por danos morais, no valor de R$ 5.000,00 (cinco mil reais). O valor da indenização deverá ser acrescido de atualização monetária a partir da presente data e juros moratórios a contar da citação. Dever-se-á observar a atualização monetária pelo índice IPCA-IBGE, conforme determinação contida no artigo 389, parágrafo único, do Código Civil, além de juros de mora de acordo com a taxa legal, isto é, taxa Selic deduzido o índice IPCA-IBGE (conforme previsão do artigo 406, § 1º, do Código Civil). Em razão da sucumbência, condeno a Parte Requerida ao pagamento das custas e despesas processuais, bem como honorários advocatícios, que fixo no importe de 20% do valor atualizado da condenação em danos morais. Certificado o trânsito em julgado, arquivem-se os autos, com as anotações e cautelas de estilo. Sentença registrada eletronicamente. "
4,3,0,0,1,"10007520320248260587","21/05/2025",2025,"São Sebastião","1ª Vara Cível","Vitor Hugo Aquino de Oliveira","parcial",5000,TRUE,TRUE,TRUE,FALSE,FALSE,"julgo PROCEDENTES EM PARTE os pedidos ajuizados por SEA PEÇAS LTDA em face de A. R. DE ARAÚJO COMUNICAÇÕES ME, para o fim de (i) declarara a inexistência de relação jurídica entre as partes; (ii) declarar a inexigibilidade dos títulos de crédito extraídos do contrato de figuração n. 93631; (iii) condenar a requerida a pagar a pagar à parte coautora o valor de R$ 5.000,00 (cinco mil reais), corrigidos desta data em diante (cf. STJ, Súmula no 362), e acrescidos de juros moratórios mensais, desde a citação até 27/08/2024; após, devem ser apuradas nos termos dos artigos 389 e 406, ambos do Código ","julgo PROCEDENTES EM PARTE os pedidos ajuizados por SEA PEÇAS LTDA em face de A. R. DE ARAÚJO COMUNICAÇÕES ME, para o fim de (i) declarara a inexistência de relação jurídica entre as partes; (ii) declarar a inexigibilidade dos títulos de crédito extraídos do contrato de figuração n. 93631; (iii) condenar a requerida a pagar a pagar à parte coautora o valor de R$ 5.000,00 (cinco mil reais), corrigidos desta data em diante (cf. STJ, Súmula no 362), e acrescidos de juros moratórios mensais, desde a citação até 27/08/2024; após, devem ser apuradas nos termos dos artigos 389 e 406, ambos do Código Civil, observada a redação da Lei n. 14.905/2024, ou seja, não havendo índice convencionado, a atualização deverá ser calculada com base no IPCA e os juros à taxa legal (SELIC deduzido o IPCA). A metodologia de cálculo e sua forma de aplicação devem seguir o disposto na Resolução CMN n. 5.171/2024 (art. 406, §2º,CC). Sucumbente, arcará a parte ré com o pagamento das custas processuais e honorários advocatícios, que fixo em 10% sobre o valor atualizado da causa, nos termos do artigo 85, § 2º, do CPC. Caso interposto recurso de apelação, intime-se para contrarrazões, remetendo-se, após, ao E. Tribunal de Justiça, com a ressalva de que as custas do preparo serão calculadas com base no valor da causa. No mais, com o trânsito em julgado, arquivem-se os autos. P.I.C. Sao Sebastiao, 21 de maio de 2025. DOCUMENTO ASSINADO DIGITALMENTE NOS TERMOS DA LEI 11.419/2006, CONFORME IMPRESSÃO À MARGEM DIREITA"
4,2,1,1,0,"10122317320228260292","31/03/2023",2023,"Jacareí","1ª Vara Cível","Ana Paula de Queiroz Aranha","procedente",500,FALSE,TRUE,TRUE,FALSE,TRUE,"Ante o exposto, torna-se definitiva a tutela de urgência concedida (fls.42) e julga-se PROCEDENTE o pedido inicial proposto por Periodicals Publicações Técnicas Ltda. contra A. R. de Araújo Comunicações ME - Lista Regional Brasil, nos termos do artigo 487, inciso I, do Código de Processo Civil, para declarar a nulidade do “contrato de figuração” (fls.20) e, em consequência, a inexistência da relação jurídica a ele vinculada, a inexigibilidade do débito cobrado, bem como a inaplicabilidade da cláusula contratual que estabelece multa por rescisão antecipada do contrato. Condeno a requerida, inte","Ante o exposto, torna-se definitiva a tutela de urgência concedida (fls.42) e julga-se PROCEDENTE o pedido inicial proposto por Periodicals Publicações Técnicas Ltda. contra A. R. de Araújo Comunicações ME - Lista Regional Brasil, nos termos do artigo 487, inciso I, do Código de Processo Civil, para declarar a nulidade do “contrato de figuração” (fls.20) e, em consequência, a inexistência da relação jurídica a ele vinculada, a inexigibilidade do débito cobrado, bem como a inaplicabilidade da cláusula contratual que estabelece multa por rescisão antecipada do contrato. Condeno a requerida, integralmente, ao pagamento das custas e despesas processuais, corrigidas desde o desembolso, e dos honorários advocatícios que arbitro em R$500,00, suspendendo-lhe o pagamento, caso esteja acobertada pelo benefício da gratuidade, ressalvada a hipótese prevista no artigo 98 e seus parágrafos 2º e 3º do Código de Processo Civil (Lei 13.105/15). Respeitados os limites mínimo e máximo, o preparo recursal corresponderá a 4% do valor da condenação, se líquida a sentença, ou da causa, se ilíquida, nos termos do inc. II e § 2º do art. 4º da Lei Estadual 11.608/2003, com a redação dada pela Lei 15.855/2015. Após o trânsito em julgado, arquivem-se os autos, com as cautelas de praxe, providenciando a serventia a queima de eventual guia, certificando-se (Provimento CG nº 01/2020 e Comunicado CG nº 136/2020). "
4,3,1,0,0,"10014994020258260482","29/05/2025",2025,"Presidente Prudente","6ª Vara Cível","Sérgio Elorza Barbosa de Moraes","procedente",NA,TRUE,TRUE,TRUE,FALSE,FALSE,"julgo PROCEDENTE a ação movida por FABRI E FERREIRA PRUDENTE COMÉRCIO DE VEÍCULOS EIRELI LTDA contra A. R. DE ARAÚJO COMUNICAÇÕES LTDA, nos termos do artigo 487, inciso I, do Código de Processo Civil, para declarar a nulidade do “contrato de figuração” (fls. 22) e, em consequência, a inexistência da relação jurídica a ele vinculada, a inexigibilidade do débito cobrado. Torno definitiva a tutela de urgência (fls. 41/42). Outrossim, condeno a requerida a devolver à autora o valor de R$ 350,00 (trezentos e cinquenta reais) referente a ","julgo PROCEDENTE a ação movida por FABRI E FERREIRA PRUDENTE COMÉRCIO DE VEÍCULOS EIRELI LTDA contra A. R. DE ARAÚJO COMUNICAÇÕES LTDA, nos termos do artigo 487, inciso I, do Código de Processo Civil, para declarar a nulidade do “contrato de figuração” (fls. 22) e, em consequência, a inexistência da relação jurídica a ele vinculada, a inexigibilidade do débito cobrado. Torno definitiva a tutela de urgência (fls. 41/42). Outrossim, condeno a requerida a devolver à autora o valor de R$ 350,00 (trezentos e cinquenta reais) referente a "
3,1,1,0,1,"10027648720238260081","23/02/2024",2024,"Adamantina","Juizado Especial Cível e Criminal","Ruth Duarte Menegatti","procedente",52800,FALSE,FALSE,TRUE,FALSE,FALSE,"JULGO PROCEDENTE o pedido feito por RODRIGO PIRONDI LAGUSTERA em face de A R DE ARAÚJO COMUNICAÇÕES (Guia Plus) para DECLARAR NULO o “Contrato de Figuração” nº 6848 G” (fls. 33), bem como para CONDENÁ-LA a pagar à parte autora, a título de indenização por danos materiais o valor de R$ 52.800,00 (cinquenta e dois mil e oitocentos reais), que deverão ser atualizados monetariamente e acrescidos de juros de mora, de 1% ao mês, a contar da data do desembolso. Deixo de arbitrar verba honorária, na medida em que incabível na espécie (artigo 55, da Lei n. 9.099/95). Nos termos do COMUNICADO CONJUNTO N","JULGO PROCEDENTE o pedido feito por RODRIGO PIRONDI LAGUSTERA em face de A R DE ARAÚJO COMUNICAÇÕES (Guia Plus) para DECLARAR NULO o “Contrato de Figuração” nº 6848 G” (fls. 33), bem como para CONDENÁ-LA a pagar à parte autora, a título de indenização por danos materiais o valor de R$ 52.800,00 (cinquenta e dois mil e oitocentos reais), que deverão ser atualizados monetariamente e acrescidos de juros de mora, de 1% ao mês, a contar da data do desembolso. Deixo de arbitrar verba honorária, na medida em que incabível na espécie (artigo 55, da Lei n. 9.099/95). Nos termos do COMUNICADO CONJUNTO Nº 951/2023, em razão das alterações na Lei n° 11.608/2003, decorrentes da Lei n° 17.785/2023, no sistema dos Juizados Especiais, em caso de interposição do Recurso Inominado, deverá ser elaborada certidão antes da remessa dos autos ao Colégio Recursal. Ressalvada a hipótese de concessão de gratuidade da justiça, o preparo corresponderá: a) 1,5% (um e meio por cento), sobre o valor atualizado da causa, a ser recolhida na guia DARE, observado o valor mínimo de 5 UFESPs, quando não se tratar de execução de título extrajudicial e 2% (dois por cento) sobre o valor atualizado da causa, por meio de DARE, observado o valor mínimo de 5 UFESP, quando se tratar de execução de título extrajudicial; b) à taxa judiciária referente às custas de preparo, no importe de 4% (quatro por cento) sobre o valor fixado na sentença, se líquido, ou sobre o valor fixado equitativamente pelo magistrado, se ilíquido, ou ainda 4% (quatro por cento) sobre o valor atualizado atribuído à causa na ausência de pedido condenatório, observado o valor mínimo de 5 UFESPs, a ser recolhida na guia DARE; c) às despesas processuais referentes a todos os serviços forenses eventualmente utilizados (despesas postais, diligências do Oficial de Justiça, taxas para pesquisas de endereço nos sistemas conveniados, custas para publicação de editais etc.), a serem recolhidas na guia FEDTJ, à exceção das diligências de Oficial de Justiça, que deverão ser colhidas na guia GRD. O preparo será recolhido de acordo com os critérios acima estabelecidos independente de cálculo elaborado pela serventia que apenas será responsável pela conferência dos valores e elaboração da certidão para juntada aos autos.” Aos advogados interessados, está disponível, no site deste Tribunal, planilha para elaboração do cálculo do preparo, nos casos de interposição de Recurso Inominado. a) O acesso à tabela poderá ser realizado por meio do link https://www.tjsp.jus.br/Corregedoria/Comunicados/Comunicado?codigoComunicado=41233&pagina=1 Após o trânsito em julgado, oportunamente, arquivem-se os autos, com as cautelas de estilo. P. I. C. Adamantina, 22 de fevereiro de 2024. DOCUMENTO ASSINADO DIGITALMENTE NOS TERMOS DA LEI 11.419/2006, CONFORME IMPRESSÃO À MARGEM DIREITA"
3,1,0,1,1,"10021485120238260069","22/07/2024",2024,"SÃO PAULO","11ª Vara Cível","Luiz Gustavo Esteves","parcial",10000,TRUE,FALSE,FALSE,FALSE,TRUE,"JULGO PARCIALMENTE PROCEDENTE o pedido, com resolução do mérito, nos termos do artigo 487, I, do CPC, para anular o negócio existente entre as partes em função da existência de vício do consentimento; declarar inexigível as cobranças perpetradas pela ré em decorrência do referido contrato, em especial, o débito listado a fls. 36, tornando definitiva a tutela deferida (expeça-se ofício para cancelamento) e condenar a ré ao pagamento de indenização por danos morais, no valor de R$ 10.000,00 ,atualizado de acordo com o IPCA, a partir da data da publicação dessa sentença (Súmula nº 362, do STJ), e","JULGO PARCIALMENTE PROCEDENTE o pedido, com resolução do mérito, nos termos do artigo 487, I, do CPC, para anular o negócio existente entre as partes em função da existência de vício do consentimento; declarar inexigível as cobranças perpetradas pela ré em decorrência do referido contrato, em especial, o débito listado a fls. 36, tornando definitiva a tutela deferida (expeça-se ofício para cancelamento) e condenar a ré ao pagamento de indenização por danos morais, no valor de R$ 10.000,00 ,atualizado de acordo com o IPCA, a partir da data da publicação dessa sentença (Súmula nº 362, do STJ), e com a incidência de juros moratórios pela SELIC, abatido o IPCA desde 29/11/2023, data do protesto indevido, evento danoso, nos termos da Súmula nº 54, do Superior Tribunal de Justiça. Em face da sucumbência experimentada, arcará apenas a requerida com as custas, despesas processuais e honorários advocatícios, que fixo em 15% (quinze por cento) sobre o valor atualizado da condenação, atento à Súmula 326 do C. STJ. P.I.C. São Paulo, 22 de julho de 2024. Luiz Gustavo Esteves Juiz de Direito DOCUMENTO ASSINADO DIGITALMENTE NOS TERMOS DA LEI 11.419/2006, CONFORME IMPRESSÃO À MARGEM DIREITA"
3,1,1,0,1,"10221452420238260100","05/09/2023",2023,"SÃO PAULO","36ª Vara Cível","Thania Pereira Teixeira De Carvalho Cardin","procedente",10000,TRUE,FALSE,FALSE,FALSE,FALSE,"JULGO PROCEDENTE o pedido, com fundamento no artigo 487, I, do Código de Processo Civil, para o fim de, confirmando a tutela de urgência, anular o contrato indicado na inicial e declarar a inexigibilidade do débito, bem como ao pagamento de R$ 10.000,00 pelos danos morais causados, com correção monetária nos termos da Tabela Prática do Tribunal de Justiça de São Paulo desde o arbitramento e juros de mora de 1% ao mês desde o ato ilícito do protesto. Em razão da sucumbência, a ré ficará responsável pelas custas, despesas processuais e honorários do Patrono da autora, arbitrados estes em 10% do ","JULGO PROCEDENTE o pedido, com fundamento no artigo 487, I, do Código de Processo Civil, para o fim de, confirmando a tutela de urgência, anular o contrato indicado na inicial e declarar a inexigibilidade do débito, bem como ao pagamento de R$ 10.000,00 pelos danos morais causados, com correção monetária nos termos da Tabela Prática do Tribunal de Justiça de São Paulo desde o arbitramento e juros de mora de 1% ao mês desde o ato ilícito do protesto. Em razão da sucumbência, a ré ficará responsável pelas custas, despesas processuais e honorários do Patrono da autora, arbitrados estes em 10% do valor atualizado da condenação, nos termos do artigo 85, § 2º do CPC. P.I. São Paulo, 05 de setembro de 2023. DOCUMENTO ASSINADO DIGITALMENTE NOS TERMOS DA LEI 11.419/2006, CONFORME IMPRESSÃO À MARGEM DIREITA"
