"processo","cdacordao","classe","assunto","relator","comarca","orgao_julgador","data_julgamento","data_publicacao","ementa","tem_protesto","tem_danos","tem_duplicata","tem_contrato","tem_rel_juridica","cd_processo.x","data.x","cd_processo.y","data.y","cd_processo.x.x","data.x.x","cd_processo.y.y","data.y.y","dispositivo","papel","resultado_dispositivo","favorabilidade"
"10046004620258260010","20339062","Apelação Cível","Duplicata","Tavares de Almeida","São Paulo","23ª Câmara de Direito Privado",2026-03-27,2026-03-27,"Ação declaratória cumulada com indenizatória - Autora - Vítima do denominado ""Golpe da lista telefônica"" - Abordagem por preposto da ré para mera atualização cadastral para figurar gratuitamente no site de pesquisa da Google - Ré - Realização de contrato oneroso - Sentença - Declaração de rescisão da avença e condenação da ré ao pagamento de indenização por danos morais - Cabimento - Título indevido - Ré - Encaminhamento a protesto -  Protesto do título - Conduta - Ilicitude - Dano moral - Caracterização - Autora - Pessoa jurídica - Aplicação da Súmula 227 do STJ - Valor arbitrado - Respeito aos princípios da razoabilidade e da proporcionalidade (art. 8º do CPC) - Pedido inicial - Procedência - Sentença - Manutenção.

Apelo da ré desprovido.  (TJSP;  Apelação Cível 1004600-46.2025.8.26.0010; Relator (a): Tavares de Almeida; Órgão Julgador: 23ª Câmara de Direito Privado; Foro Regional X - Ipiranga - 2ª Vara Cível; Data do Julgamento: 27/03/2026; Data de Registro: 27/03/2026)",FALSE,TRUE,FALSE,FALSE,FALSE,"RI009B8KA0000",2026-03-27,"RI009B8KA0000",2026-03-27,"RI009B8KA0000",2026-03-27,"RI009B8KA0000",2026-03-27,"Negaram provimento ao recurso. V. U.","autora","improvido","indefinido"
"10123943220238260320","20266837","Apelação Cível","Prestação de Serviços","Gomes Varjão","São Paulo","34ª Câmara de Direito Privado",2026-03-11,2026-03-11,"Contrato de figuração (prestação de serviços de publicidade). Ação anulatória de negócio jurídico, por vício de consentimento, cumulada com pedido declaratório de inexigibilidade de débito; de indenização por danos materiais e de concessão de tutela de urgência (obrigação de não fazer). Sentença de parcial procedência mantida com fundamento no art. 252 do Regimento Interno deste E. Tribunal de Justiça. Pelos elementos dos autos e pelas máximas de experiência, dessume-se que a autora foi vítima de uma variação do denominado golpe da lista telefônica. Na aludida prática, prepostos de empresas que veiculam listas telefônicas ou outros meios de publicidade eletrônica de massa, por meio de sites ou spams, entram em contato com empresas de diferentes ramos de atuação e lhes oferecem uma cortesia ou solicitam uma singela atualização cadastral para veiculação de propaganda gratuita ou por valor simbólico, sendo necessário que o preposto da empresa abordada preencha um formulário que, na verdade, é um contrato. E, da leitura do documento encaminhado à preposta da autora (intitulado ""CONTRATO DE FIGURAÇÃO""), vê-se que foi redigido de forma propositalmente vaga, com fonte em tamanho diminuto e ainda mais reduzido no campo das cláusulas, e sem que o valor da contraprestação mensal tenha sido escrito em algarismos, justamente para dificultar a leitura e induzir o contratante a erro quanto ao objeto da avença. Preposta que, conforme lhe fora repassado ao telefone, acreditava que estava preenchendo autorização para atualização cadastral gratuita, e não contratando um serviço de publicidade, pelo prazo de 03 anos, com custo mensal de R$ 350,00 e total de R$ 12.600,00. Precedentes deste E. Tribunal envolvendo a mesma empresa apelante. Anulação do contrato e condenação da ré à restituição em dobro dos valores pagos pela autora que realmente se impunham.

Recurso improvido.  (TJSP;  Apelação Cível 1012394-32.2023.8.26.0320; Relator (a): Gomes Varjão; Órgão Julgador: 34ª Câmara de Direito Privado; Foro Central Cível - 21ª Vara Cível; Data do Julgamento: 11/03/2026; Data de Registro: 11/03/2026)",FALSE,TRUE,FALSE,FALSE,FALSE,"RI00990WD0000",2026-03-11,"RI00990WD0000",2026-03-11,"RI00990WD0000",2026-03-11,"RI00990WD0000",2026-03-11,"Negaram provimento ao recurso. V. U.","autora","improvido","indefinido"
"10229659120228260451","20253134","Apelação Cível","Duplicata","Israel Góes dos Anjos","São Paulo","18ª Câmara de Direito Privado",2026-03-09,2026-03-09,"AÇÃO DECLARATÓRIA C/C INDENIZAÇÃO POR DANOS MORAIS - CONTRATO DE FIGURAÇÃO/PUBLICIDADE - Sentença que julgou procedentes os pedidos –  Pretensão de reforma.
ADMISSIBILIDADE EM PARTE: Contratação válida à luz da Teoria da Aparência, diante da assinatura por funcionária que se apresentou como gerente, tratativas negociais comprovadas e ausência de impugnação específica quanto ao vínculo funcional. Cronologia dos fatos que evidencia distrato logo após o pagamento da primeira parcela, com ajuste para quitação por valor reduzido. Ausência de prova idônea da efetiva prestação do serviço. Inexigibilidade das cobranças reconhecida. Pessoa jurídica que, embora passível de dano moral, não comprovou violação concreta à honra objetiva decorrente do protesto. Indenização afastada. Sentença reformada em parte.

RECURSO PARCIALMENTE PROVIDO.  (TJSP;  Apelação Cível 1022965-91.2022.8.26.0451; Relator (a): Israel Góes dos Anjos; Órgão Julgador: 18ª Câmara de Direito Privado; Foro Central Cível - 31ª Vara Cível; Data do Julgamento: 09/03/2026; Data de Registro: 09/03/2026)",FALSE,TRUE,FALSE,FALSE,FALSE,"RI007LHRN0000",2023-11-17,"RI007LHRN0000",2023-11-17,"RI007LHRN0000",2023-11-17,"RI007LHRN0000",2023-11-17,"Deram provimento ao recurso. V. U.","autora","provido","indefinido"
"10229659120228260451","20253134","Apelação Cível","Duplicata","Israel Góes dos Anjos","São Paulo","18ª Câmara de Direito Privado",2026-03-09,2026-03-09,"AÇÃO DECLARATÓRIA C/C INDENIZAÇÃO POR DANOS MORAIS - CONTRATO DE FIGURAÇÃO/PUBLICIDADE - Sentença que julgou procedentes os pedidos –  Pretensão de reforma.
ADMISSIBILIDADE EM PARTE: Contratação válida à luz da Teoria da Aparência, diante da assinatura por funcionária que se apresentou como gerente, tratativas negociais comprovadas e ausência de impugnação específica quanto ao vínculo funcional. Cronologia dos fatos que evidencia distrato logo após o pagamento da primeira parcela, com ajuste para quitação por valor reduzido. Ausência de prova idônea da efetiva prestação do serviço. Inexigibilidade das cobranças reconhecida. Pessoa jurídica que, embora passível de dano moral, não comprovou violação concreta à honra objetiva decorrente do protesto. Indenização afastada. Sentença reformada em parte.

RECURSO PARCIALMENTE PROVIDO.  (TJSP;  Apelação Cível 1022965-91.2022.8.26.0451; Relator (a): Israel Góes dos Anjos; Órgão Julgador: 18ª Câmara de Direito Privado; Foro Central Cível - 31ª Vara Cível; Data do Julgamento: 09/03/2026; Data de Registro: 09/03/2026)",FALSE,TRUE,FALSE,FALSE,FALSE,"RI007LHRN0000",2023-11-17,"RI007LHRN0000",2023-11-17,"RI007LHRN0000",2023-11-17,"RI00955PZ0000",2026-03-09,"Deram provimento em parte ao recurso. V. U.","autora","parcial","consumidor_venceu"
"10229659120228260451","20253134","Apelação Cível","Duplicata","Israel Góes dos Anjos","São Paulo","18ª Câmara de Direito Privado",2026-03-09,2026-03-09,"AÇÃO DECLARATÓRIA C/C INDENIZAÇÃO POR DANOS MORAIS - CONTRATO DE FIGURAÇÃO/PUBLICIDADE - Sentença que julgou procedentes os pedidos –  Pretensão de reforma.
ADMISSIBILIDADE EM PARTE: Contratação válida à luz da Teoria da Aparência, diante da assinatura por funcionária que se apresentou como gerente, tratativas negociais comprovadas e ausência de impugnação específica quanto ao vínculo funcional. Cronologia dos fatos que evidencia distrato logo após o pagamento da primeira parcela, com ajuste para quitação por valor reduzido. Ausência de prova idônea da efetiva prestação do serviço. Inexigibilidade das cobranças reconhecida. Pessoa jurídica que, embora passível de dano moral, não comprovou violação concreta à honra objetiva decorrente do protesto. Indenização afastada. Sentença reformada em parte.

RECURSO PARCIALMENTE PROVIDO.  (TJSP;  Apelação Cível 1022965-91.2022.8.26.0451; Relator (a): Israel Góes dos Anjos; Órgão Julgador: 18ª Câmara de Direito Privado; Foro Central Cível - 31ª Vara Cível; Data do Julgamento: 09/03/2026; Data de Registro: 09/03/2026)",FALSE,TRUE,FALSE,FALSE,FALSE,"RI007LHRN0000",2023-11-17,"RI007LHRN0000",2023-11-17,"RI00955PZ0000",2026-03-09,"RI007LHRN0000",2023-11-17,"Deram provimento ao recurso. V. U.","autora","provido","indefinido"
"10229659120228260451","20253134","Apelação Cível","Duplicata","Israel Góes dos Anjos","São Paulo","18ª Câmara de Direito Privado",2026-03-09,2026-03-09,"AÇÃO DECLARATÓRIA C/C INDENIZAÇÃO POR DANOS MORAIS - CONTRATO DE FIGURAÇÃO/PUBLICIDADE - Sentença que julgou procedentes os pedidos –  Pretensão de reforma.
ADMISSIBILIDADE EM PARTE: Contratação válida à luz da Teoria da Aparência, diante da assinatura por funcionária que se apresentou como gerente, tratativas negociais comprovadas e ausência de impugnação específica quanto ao vínculo funcional. Cronologia dos fatos que evidencia distrato logo após o pagamento da primeira parcela, com ajuste para quitação por valor reduzido. Ausência de prova idônea da efetiva prestação do serviço. Inexigibilidade das cobranças reconhecida. Pessoa jurídica que, embora passível de dano moral, não comprovou violação concreta à honra objetiva decorrente do protesto. Indenização afastada. Sentença reformada em parte.

RECURSO PARCIALMENTE PROVIDO.  (TJSP;  Apelação Cível 1022965-91.2022.8.26.0451; Relator (a): Israel Góes dos Anjos; Órgão Julgador: 18ª Câmara de Direito Privado; Foro Central Cível - 31ª Vara Cível; Data do Julgamento: 09/03/2026; Data de Registro: 09/03/2026)",FALSE,TRUE,FALSE,FALSE,FALSE,"RI007LHRN0000",2023-11-17,"RI007LHRN0000",2023-11-17,"RI00955PZ0000",2026-03-09,"RI00955PZ0000",2026-03-09,"Deram provimento em parte ao recurso. V. U.","autora","parcial","consumidor_venceu"
"10229659120228260451","20253134","Apelação Cível","Duplicata","Israel Góes dos Anjos","São Paulo","18ª Câmara de Direito Privado",2026-03-09,2026-03-09,"AÇÃO DECLARATÓRIA C/C INDENIZAÇÃO POR DANOS MORAIS - CONTRATO DE FIGURAÇÃO/PUBLICIDADE - Sentença que julgou procedentes os pedidos –  Pretensão de reforma.
ADMISSIBILIDADE EM PARTE: Contratação válida à luz da Teoria da Aparência, diante da assinatura por funcionária que se apresentou como gerente, tratativas negociais comprovadas e ausência de impugnação específica quanto ao vínculo funcional. Cronologia dos fatos que evidencia distrato logo após o pagamento da primeira parcela, com ajuste para quitação por valor reduzido. Ausência de prova idônea da efetiva prestação do serviço. Inexigibilidade das cobranças reconhecida. Pessoa jurídica que, embora passível de dano moral, não comprovou violação concreta à honra objetiva decorrente do protesto. Indenização afastada. Sentença reformada em parte.

RECURSO PARCIALMENTE PROVIDO.  (TJSP;  Apelação Cível 1022965-91.2022.8.26.0451; Relator (a): Israel Góes dos Anjos; Órgão Julgador: 18ª Câmara de Direito Privado; Foro Central Cível - 31ª Vara Cível; Data do Julgamento: 09/03/2026; Data de Registro: 09/03/2026)",FALSE,TRUE,FALSE,FALSE,FALSE,"RI007LHRN0000",2023-11-17,"RI00955PZ0000",2026-03-09,"RI007LHRN0000",2023-11-17,"RI007LHRN0000",2023-11-17,"Deram provimento ao recurso. V. U.","autora","provido","indefinido"
"10229659120228260451","20253134","Apelação Cível","Duplicata","Israel Góes dos Anjos","São Paulo","18ª Câmara de Direito Privado",2026-03-09,2026-03-09,"AÇÃO DECLARATÓRIA C/C INDENIZAÇÃO POR DANOS MORAIS - CONTRATO DE FIGURAÇÃO/PUBLICIDADE - Sentença que julgou procedentes os pedidos –  Pretensão de reforma.
ADMISSIBILIDADE EM PARTE: Contratação válida à luz da Teoria da Aparência, diante da assinatura por funcionária que se apresentou como gerente, tratativas negociais comprovadas e ausência de impugnação específica quanto ao vínculo funcional. Cronologia dos fatos que evidencia distrato logo após o pagamento da primeira parcela, com ajuste para quitação por valor reduzido. Ausência de prova idônea da efetiva prestação do serviço. Inexigibilidade das cobranças reconhecida. Pessoa jurídica que, embora passível de dano moral, não comprovou violação concreta à honra objetiva decorrente do protesto. Indenização afastada. Sentença reformada em parte.

RECURSO PARCIALMENTE PROVIDO.  (TJSP;  Apelação Cível 1022965-91.2022.8.26.0451; Relator (a): Israel Góes dos Anjos; Órgão Julgador: 18ª Câmara de Direito Privado; Foro Central Cível - 31ª Vara Cível; Data do Julgamento: 09/03/2026; Data de Registro: 09/03/2026)",FALSE,TRUE,FALSE,FALSE,FALSE,"RI007LHRN0000",2023-11-17,"RI00955PZ0000",2026-03-09,"RI007LHRN0000",2023-11-17,"RI00955PZ0000",2026-03-09,"Deram provimento em parte ao recurso. V. U.","autora","parcial","consumidor_venceu"
"10229659120228260451","20253134","Apelação Cível","Duplicata","Israel Góes dos Anjos","São Paulo","18ª Câmara de Direito Privado",2026-03-09,2026-03-09,"AÇÃO DECLARATÓRIA C/C INDENIZAÇÃO POR DANOS MORAIS - CONTRATO DE FIGURAÇÃO/PUBLICIDADE - Sentença que julgou procedentes os pedidos –  Pretensão de reforma.
ADMISSIBILIDADE EM PARTE: Contratação válida à luz da Teoria da Aparência, diante da assinatura por funcionária que se apresentou como gerente, tratativas negociais comprovadas e ausência de impugnação específica quanto ao vínculo funcional. Cronologia dos fatos que evidencia distrato logo após o pagamento da primeira parcela, com ajuste para quitação por valor reduzido. Ausência de prova idônea da efetiva prestação do serviço. Inexigibilidade das cobranças reconhecida. Pessoa jurídica que, embora passível de dano moral, não comprovou violação concreta à honra objetiva decorrente do protesto. Indenização afastada. Sentença reformada em parte.

RECURSO PARCIALMENTE PROVIDO.  (TJSP;  Apelação Cível 1022965-91.2022.8.26.0451; Relator (a): Israel Góes dos Anjos; Órgão Julgador: 18ª Câmara de Direito Privado; Foro Central Cível - 31ª Vara Cível; Data do Julgamento: 09/03/2026; Data de Registro: 09/03/2026)",FALSE,TRUE,FALSE,FALSE,FALSE,"RI007LHRN0000",2023-11-17,"RI00955PZ0000",2026-03-09,"RI00955PZ0000",2026-03-09,"RI007LHRN0000",2023-11-17,"Deram provimento ao recurso. V. U.","autora","provido","indefinido"
"10229659120228260451","20253134","Apelação Cível","Duplicata","Israel Góes dos Anjos","São Paulo","18ª Câmara de Direito Privado",2026-03-09,2026-03-09,"AÇÃO DECLARATÓRIA C/C INDENIZAÇÃO POR DANOS MORAIS - CONTRATO DE FIGURAÇÃO/PUBLICIDADE - Sentença que julgou procedentes os pedidos –  Pretensão de reforma.
ADMISSIBILIDADE EM PARTE: Contratação válida à luz da Teoria da Aparência, diante da assinatura por funcionária que se apresentou como gerente, tratativas negociais comprovadas e ausência de impugnação específica quanto ao vínculo funcional. Cronologia dos fatos que evidencia distrato logo após o pagamento da primeira parcela, com ajuste para quitação por valor reduzido. Ausência de prova idônea da efetiva prestação do serviço. Inexigibilidade das cobranças reconhecida. Pessoa jurídica que, embora passível de dano moral, não comprovou violação concreta à honra objetiva decorrente do protesto. Indenização afastada. Sentença reformada em parte.

RECURSO PARCIALMENTE PROVIDO.  (TJSP;  Apelação Cível 1022965-91.2022.8.26.0451; Relator (a): Israel Góes dos Anjos; Órgão Julgador: 18ª Câmara de Direito Privado; Foro Central Cível - 31ª Vara Cível; Data do Julgamento: 09/03/2026; Data de Registro: 09/03/2026)",FALSE,TRUE,FALSE,FALSE,FALSE,"RI007LHRN0000",2023-11-17,"RI00955PZ0000",2026-03-09,"RI00955PZ0000",2026-03-09,"RI00955PZ0000",2026-03-09,"Deram provimento em parte ao recurso. V. U.","autora","parcial","consumidor_venceu"
