"processo","cd_processo","data","dispositivo"
"10001652220178260297","RI0044C5P0000",2019-06-13,"Negaram provimento ao recurso. V. U."
"10001851620198260047","RI005MLND0000",2020-08-12,"Não conheceram do recurso. V. U."
"10005627220208260169","RI0069DPB0000",2021-03-19,"Negaram provimento ao recurso. V. U."
"10006411320238260180","RI0085QZG0000",2024-12-07,"Deram provimento ao recurso. V. U."
"10006411320238260180","RI0085QZG12KW",2025-05-09,"Rejeitaram os embargos. V. U."
"10006411320238260180","RI008FTW20000",NA,NA
"10011095220198260071","RI006L8GU0000",2022-04-05,"Negaram provimento ao recurso. V. U."
"10011095220198260071","RI006L8GU12KW",2023-01-13,"Rejeitaram os embargos. V. U."
"10012991520258260100","RI008YIUE0000",2025-10-23,"Deram provimento ao recurso. V. U."
"10013243820198260100","RI005P0820000",2020-02-13,"Deram provimento em parte ao recurso. V. U."
"10016460220218260484","RI006UAH50000",2022-08-02,"Negaram provimento ao recurso. V. U."
"10016534220218260274","RI006ZJZR0000",2022-12-12,"Negaram provimento ao recurso. V. U."
"10018248020178260066","RI004RAS90000",2018-12-13,"Negaram provimento ao recurso. V. U."
"10026737520198260650","RI00600S10000",2020-09-03,"Negaram provimento ao recurso. V. U."
"10032295720238260482","RI00827RO0000",2024-09-27,"Deram provimento ao recurso. V. U."
"10032295720238260482","RI008G0A70000",NA,NA
"10037207820208260576","RI006D0X10000",2021-10-28,"Em julgamento originário, por maioria de votos, deram provimento ao recurso, vencido o 3º Juiz que a ele negava provimento. Em julgamento ampliado, a 4ª Juíza e o 5º Juiz deram provimento à apelação, acompanhando o Relator. Vencido o 3º Juiz que declarará voto."
"10039696120198260318","RI005WPPF0000",2020-07-09,"Negaram provimento ao recurso. V. U."
"10045205920198260506","RI006C3WS0000",2021-04-19,"Deram provimento em parte ao recurso. V. U."
"10046004620258260010","RI009B8KA0000",2026-03-27,"Negaram provimento ao recurso. V. U."
"10051447920198260451","RI006679K0000",2021-01-22,"Afastada a preliminar, negaram provimento ao recurso da autora e deram provimento ao recurso da ré. V.U."
"10051447920198260451","RI006679K12KW",2021-02-24,"Rejeitaram os embargos. V. U."
"10051766520198260037","RI0062P270000",2021-02-03,"Deram provimento ao recurso. V. U."
"10058374320238260477","RI0083ZYO0000",2024-06-26,"Deram provimento em parte ao recurso. V. U."
"10066048720258260032","RI0091QVT0000",2025-10-29,"Negaram provimento ao recurso. V. U."
"10067367120188260362","RI005O7UP0000",2020-02-06,"Negaram provimento ao recurso. V. U."
"10077054820228260297","RI007ZHO70000",2025-07-08,"Negaram provimento ao recurso, rejeitada a preliminar. V.U."
"10083983620208260577","RI006CF3G0000",2021-10-19,"Deram provimento em parte ao recurso. V. U."
"10092730620208260577","RI0069GX70000",2021-05-31,"Deram provimento ao recurso. V. U."
"10109180820218260100","RI006H5ND0000",2022-05-23,"RECURSOS NÃO PROVIDOS. V.U.*"
"10109180820218260100","RI006H5ND12KW",2022-07-27,"EMBARGOS REJEITADOS. V.U.*"
"10112134520218260100","RI006Z83Q0000",2022-07-26,"Deram provimento em parte ao recurso. V. U."
